datetime,open,high,low,close,volume
2020-01-03,255.99,258.19,253.7,255.0,35851840
2020-01-06,254.75,254.84,251.4,253.9,22348300
2020-01-08,253.57,259.15,253.03,259.15,40817240
2020-01-09,259.4,261.76,257.01,257.99,38329020
2020-01-10,257.86,259.25,256.88,258.19,18851390
2020-01-13,258.3,262.4,257.15,262.4,25855010
2020-01-14,262.5,263.22,258.62,259.05,31125740
2020-01-15,258.49,258.91,254.21,256.31,49361790
2020-01-16,257.11,259.51,256.1,257.51,40246770
2020-01-17,258.2,262.82,257.75,262.5,44914290
2020-01-20,263.2,266.97,261.8,266.28,29797710
2020-01-21,265.5,268.9,263.02,268.06,38082090
2020-01-22,268.72,270.8,265.5,266.54,44282490
2020-01-23,264.64,266.89,262.24,263.73,40604170
2020-01-24,264.5,267.5,264.21,265.49,27340100
2020-01-27,261.0,262.1,255.32,255.32,56453370
2020-01-28,257.0,258.84,254.1,257.7,48137360
2020-01-29,258.4,261.57,257.61,259.94,35047940
2020-01-30,258.0,258.69,255.27,257.31,31769340
2020-01-31,258.5,259.2,252.17,252.2,47921560
2020-02-03,251.8,254.96,251.1,253.99,52728460
2020-02-04,255.3,257.38,252.9,255.4,49786360
2020-02-05,255.89,257.66,253.14,255.2,50756570
2020-02-06,256.5,258.0,251.86,252.11,43615980
2020-02-07,253.1,254.3,248.73,254.3,50226630
2020-02-10,254.55,255.73,252.07,252.26,35220690
2020-02-11,253.75,259.77,253.0,254.5,79454730
2020-02-12,255.4,255.49,252.31,254.5,52523300
2020-02-13,253.62,255.18,252.5,253.89,36730840
2020-02-14,254.4,254.4,251.4,251.75,30017380
2020-02-17,252.5,253.1,250.13,251.36,26429380
2020-02-18,250.07,250.44,247.57,249.2,36365950
2020-02-19,250.37,250.68,247.95,249.7,25798890
2020-02-20,250.03,252.17,249.13,250.15,30717360
2020-02-21,248.35,251.49,247.24,250.8,27762930
2020-02-25,247.98,249.0,245.17,245.19,41055780
2020-02-26,244.75,251.21,243.22,250.8,67757850
2020-02-27,247.5,248.98,242.0,242.88,58240400
2020-02-28,235.0,239.0,231.0,233.36,124633310
2020-03-02,238.93,241.0,218.86,228.17,101986040
2020-03-03,233.0,239.0,232.28,236.63,83653950
2020-03-04,234.13,236.7,232.62,235.27,54274670
2020-03-05,237.0,238.72,230.64,232.33,57083760
2020-03-06,228.0,229.2,216.67,219.99,104446900
2020-03-10,197.99,212.74,184.86,201.2,244541800
2020-03-11,202.0,204.33,192.05,194.53,138304030
2020-03-12,185.15,187.87,173.14,175.91,197972880
2020-03-13,175.0,199.52,174.3,198.6,263038280
2020-03-16,194.0,196.7,186.0,195.85,174273600
2020-03-17,195.0,204.78,183.8,184.01,184148390
2020-03-18,179.0,182.2,172.15,174.27,155008180
2020-03-19,178.5,190.15,173.06,189.51,187427700
2020-03-20,198.62,201.86,192.05,195.69,170582970
2020-03-23,188.0,190.99,182.1,183.37,157891450
2020-03-24,193.3,195.0,189.1,192.64,104881990
2020-03-25,196.38,201.0,182.32,188.08,187978350
2020-03-26,187.69,191.2,182.8,188.07,111602370
2020-03-27,188.05,188.97,180.17,180.38,114277750
2020-03-30,177.0,183.2,174.9,183.0,94334680
2020-03-31,186.0,188.77,184.25,187.21,114026920
2020-04-01,183.2,185.47,182.0,184.78,76826820
2020-04-02,188.3,189.9,182.0,186.95,125636360
2020-04-03,186.6,187.49,184.28,185.64,92860290
2020-04-06,187.52,192.02,186.42,190.7,77864920
2020-04-07,193.02,200.54,193.02,197.63,136421670
2020-04-08,196.02,200.29,195.12,200.29,89980980
2020-04-09,202.4,205.44,199.3,203.61,109981630
2020-04-10,201.85,202.75,200.7,201.99,28758250
2020-04-13,202.0,202.16,197.32,198.26,41284390
2020-04-14,199.99,202.85,196.1,197.37,80220070
2020-04-15,196.0,196.25,186.06,186.07,98164460
2020-04-16,187.22,191.67,183.53,188.5,109174870
2020-04-17,192.5,192.7,188.28,191.8,71727940
2020-04-20,190.6,192.23,187.31,189.32,62240080
2020-04-21,185.54,187.5,183.65,186.05,94307290
2020-04-22,185.01,191.94,184.5,190.2,75361890
2020-04-23,191.99,192.5,188.68,190.94,62759650
2020-04-24,189.73,191.65,187.7,188.91,55313850
2020-04-27,189.98,190.5,188.43,188.9,43711720
2020-04-28,188.5,194.22,188.17,192.8,78584780
2020-04-29,194.46,195.8,192.86,195.8,69842140
2020-04-30,196.51,199.7,195.46,197.25,87198650
2020-05-04,195.68,195.68,193.26,193.69,56398200
2020-05-05,195.51,196.46,194.0,194.75,35439260
2020-05-06,195.0,197.23,194.3,195.7,49561410
2020-05-07,196.0,198.15,195.06,195.51,57728990
2020-05-08,196.0,196.25,194.6,196.02,33836340
2020-05-12,193.3,198.0,191.2,191.4,67656880
2020-05-13,190.05,190.6,186.66,187.31,63466110
2020-05-14,186.5,188.2,183.5,183.81,76682120
2020-05-15,186.13,186.78,183.33,183.85,63148140
2020-05-18,186.33,190.0,185.4,188.93,77545890
2020-05-19,190.37,192.55,186.8,189.0,105324020
2020-05-20,188.49,193.98,186.6,193.98,93343040
2020-05-21,194.0,196.31,191.5,192.4,79541950
2020-05-22,190.97,191.25,188.6,188.9,57013570
2020-05-25,189.62,191.31,188.8,191.0,23140090
2020-05-26,193.0,196.1,192.11,194.0,79312200
2020-05-27,194.0,198.97,193.32,198.51,116074210
2020-05-28,199.31,205.0,198.4,205.0,117179670
2020-05-29,204.11,204.4,199.17,200.5,106653140
2020-06-01,203.1,205.93,201.81,203.66,65650670
2020-06-02,204.67,212.0,204.0,212.0,116868310
2020-06-03,214.0,221.92,213.51,221.5,145043730
2020-06-04,220.67,221.0,212.55,213.1,122494020
2020-06-05,215.13,219.93,213.6,219.1,88658860
2020-06-08,219.8,223.15,217.45,220.3,88826700
2020-06-09,221.13,221.88,215.44,217.23,69166250
2020-06-10,217.0,217.58,211.82,212.53,91895460
2020-06-11,208.91,209.24,206.01,208.35,70033060
2020-06-15,205.07,207.85,202.3,207.32,75996510
2020-06-16,210.28,212.19,207.52,207.76,66559110
