datetime	open	high	low	close	volume
29.04.2010 00:00	80.16	81.19	79.42	80.73	15514203
30.04.2010 00:00	81.01	81.38	77.82	78.58	15219221
04.05.2010 00:00	79.2	80.09	75.46	75.81	22392717
05.05.2010 00:00	75.16	77.44	73.5	74.92	28007348
06.05.2010 00:00	74.79	76.99	73.53	74.06	28918487
07.05.2010 00:00	70.96	72.7	69.51	70.27	37753240
11.05.2010 00:00	73.6	75.1	71.15	74.52	30373125
12.05.2010 00:00	74.3	82.3	74.1	81.95	37523326
13.05.2010 00:00	82.73	84.73	79.42	80.81	39601005
14.05.2010 00:00	79.8	80.55	76.92	77.25	23493545
17.05.2010 00:00	75.3	77.45	74.85	76.63	32335049
18.05.2010 00:00	76.99	78.28	75.7	77.2	30144732
19.05.2010 00:00	75.5	75.88	73.43	73.82	26348477
20.05.2010 00:00	74.0	75.3	69.23	69.92	37856956
21.05.2010 00:00	70.5	71.74	67.16	68.81	44900668
24.05.2010 00:00	71.0	71.71	69.13	70.13	28798424
25.05.2010 00:00	67.4	67.64	63.81	64.56	31426801
26.05.2010 00:00	66.19	69.39	65.6	68.81	51782565
27.05.2010 00:00	69.35	71.76	68.1	70.56	41222113
28.05.2010 00:00	71.2	72.07	69.8	70.34	27175803
31.05.2010 00:00	70.27	71.43	69.93	71.06	11133274
01.06.2010 00:00	70.4	71.6	68.08	70.94	24907173
02.06.2010 00:00	69.51	71.26	68.92	71.06	31076268
03.06.2010 00:00	73.0	73.26	72.0	72.36	22515365
04.06.2010 00:00	72.3	73.53	69.5	70.18	30528551
07.06.2010 00:00	67.65	71.74	67.4	71.14	27093022
08.06.2010 00:00	71.99	72.49	70.18	71.17	30931336
09.06.2010 00:00	71.72	72.57	70.63	71.81	25407147
10.06.2010 00:00	72.06	73.35	70.77	73.18	25171131
11.06.2010 00:00	73.75	73.8	71.35	72.31	19274603
15.06.2010 00:00	72.65	76.0	72.24	75.68	24208216
16.06.2010 00:00	77.0	77.44	75.31	76.73	26434243
17.06.2010 00:00	76.36	79.74	76.13	78.33	34185618
18.06.2010 00:00	78.88	80.3	77.43	80.03	23128330
21.06.2010 00:00	82.0	84.56	81.8	83.99	21327904
22.06.2010 00:00	83.01	83.9	81.03	82.48	25658003
23.06.2010 00:00	81.51	83.05	80.55	80.88	17390793
24.06.2010 00:00	81.75	82.08	79.93	80.27	18146926
25.06.2010 00:00	80.01	80.37	77.7	78.23	19701049
28.06.2010 00:00	78.52	80.7	78.23	80.16	16906803
29.06.2010 00:00	79.0	79.0	76.44	77.07	17749133
30.06.2010 00:00	77.1	78.43	76.05	76.96	27991420
01.07.2010 00:00	75.01	75.5	71.79	72.75	23813213
02.07.2010 00:00	73.19	73.93	71.5	73.06	27509593
05.07.2010 00:00	73.06	73.79	72.76	73.31	9458603
06.07.2010 00:00	74.15	76.77	74.0	76.48	21855210
07.07.2010 00:00	75.67	77.53	74.05	77.15	26965752
08.07.2010 00:00	78.9	79.45	77.13	78.04	24447113
09.07.2010 00:00	78.2	78.59	76.0	77.32	18496160
12.07.2010 00:00	77.0	80.25	76.95	79.69	23606013
13.07.2010 00:00	79.4	82.7	79.11	82.12	26685971
14.07.2010 00:00	83.0	83.47	81.67	82.17	22908462
15.07.2010 00:00	82.22	84.27	80.55	80.79	28841341
16.07.2010 00:00	81.1	81.75	78.43	78.99	24251679
19.07.2010 00:00	78.65	80.83	78.5	80.05	16877307
20.07.2010 00:00	81.2	81.7	78.69	79.67	19989262
21.07.2010 00:00	80.7	82.26	80.38	81.72	22553788
22.07.2010 00:00	81.0	84.05	80.81	83.69	23972850
23.07.2010 00:00	84.0	84.2	82.36	83.05	20941953
26.07.2010 00:00	84.1	84.72	83.1	84.07	16886675
27.07.2010 00:00	84.22	85.74	83.55	84.67	20953419
28.07.2010 00:00	84.9	85.6	83.81	84.17	19394754
29.07.2010 00:00	84.5	86.7	84.21	86.45	16512491
30.07.2010 00:00	85.9	86.17	83.1	84.3	18044521
02.08.2010 00:00	85.4	86.84	85.39	86.61	15754845
03.08.2010 00:00	86.85	86.9	85.43	85.7	13719209
04.08.2010 00:00	85.45	86.73	84.6	85.76	16696547
05.08.2010 00:00	85.91	86.19	83.93	84.35	16136887
06.08.2010 00:00	84.8	84.98	82.46	83.0	14664743
09.08.2010 00:00	83.5	84.2	83.06	83.43	10346040
10.08.2010 00:00	83.1	83.28	81.62	82.51	13289962
11.08.2010 00:00	81.94	82.23	80.52	80.69	14172181
12.08.2010 00:00	80.22	81.68	79.84	80.83	17405504
13.08.2010 00:00	82.0	82.28	79.92	80.8	15977565
16.08.2010 00:00	81.15	81.39	79.01	79.98	15573348
17.08.2010 00:00	80.4	81.47	79.88	81.16	15119921
18.08.2010 00:00	81.16	81.26	79.81	80.57	13376280
19.08.2010 00:00	81.15	81.75	79.31	79.73	16482332
20.08.2010 00:00	79.4	79.92	78.04	78.3	15247204
23.08.2010 00:00	78.49	78.96	77.27	78.25	14992780
24.08.2010 00:00	77.4	77.41	75.2	75.55	17842918
25.08.2010 00:00	75.2	76.45	73.55	73.9	22403656
26.08.2010 00:00	74.99	76.75	74.55	76.4	24716577
27.08.2010 00:00	76.05	77.35	75.25	76.95	21928087
30.08.2010 00:00	78.0	78.17	77.11	77.34	11597304
31.08.2010 00:00	76.03	78.45	75.72	78.16	15607725
01.09.2010 00:00	78.55	80.56	77.6	80.22	18813473
02.09.2010 00:00	80.43	81.25	79.94	80.4	16601854
03.09.2010 00:00	80.7	82.35	80.27	81.62	17222599
06.09.2010 00:00	82.11	82.4	81.56	81.81	6061619
07.09.2010 00:00	81.36	81.4	79.77	80.06	13246338
08.09.2010 00:00	79.66	82.31	79.42	82.19	21063132
09.09.2010 00:00	82.02	84.5	81.99	83.66	21794791
10.09.2010 00:00	83.35	84.19	82.73	83.31	13048188
13.09.2010 00:00	84.61	85.16	84.45	84.7	13973722
14.09.2010 00:00	84.23	85.86	84.0	84.39	21046082
15.09.2010 00:00	84.23	84.67	83.37	84.38	15856540
16.09.2010 00:00	84.0	84.8	82.83	83.02	16171971
17.09.2010 00:00	83.72	84.1	82.05	82.24	12566179
20.09.2010 00:00	82.5	83.43	81.65	83.25	12494926
21.09.2010 00:00	83.5	84.32	83.14	83.76	10048604
22.09.2010 00:00	83.87	83.89	82.5	82.93	13748259
23.09.2010 00:00	82.85	84.37	82.66	83.94	16583611
24.09.2010 00:00	83.9	85.0	83.62	84.7	14632638
27.09.2010 00:00	85.25	85.44	83.41	83.64	12465715
28.09.2010 00:00	83.26	83.95	82.54	83.04	12555563
29.09.2010 00:00	83.45	84.62	83.27	83.8	13577784
30.09.2010 00:00	83.7	86.15	83.61	85.89	15723484
01.10.2010 00:00	85.9	89.92	85.72	88.99	33249724
04.10.2010 00:00	89.3	90.77	88.95	90.03	19411683
05.10.2010 00:00	89.8	92.05	89.42	91.74	19893355
06.10.2010 00:00	92.51	92.99	90.71	91.05	21067969
07.10.2010 00:00	91.48	91.72	90.09	90.35	14518429
08.10.2010 00:00	90.22	90.57	89.15	90.28	12526533
11.10.2010 00:00	90.98	91.8	90.91	91.4	6436769
12.10.2010 00:00	90.9	91.38	90.07	90.98	13046387
13.10.2010 00:00	91.61	92.54	90.73	91.34	22452297
14.10.2010 00:00	91.8	92.47	90.94	91.41	17493349
15.10.2010 00:00	91.21	92.53	90.54	92.17	16717990
18.10.2010 00:00	92.0	95.1	91.74	94.87	22699388
19.10.2010 00:00	95.09	97.35	94.91	95.52	25883791
20.10.2010 00:00	94.97	97.82	94.65	97.19	20602614
21.10.2010 00:00	97.86	103.5	97.45	103.09	38446761
22.10.2010 00:00	103.4	104.44	101.3	101.97	24013691
25.10.2010 00:00	103.5	104.2	102.22	102.6	13220337
26.10.2010 00:00	102.0	102.34	99.79	101.48	15641580
27.10.2010 00:00	101.22	101.44	99.67	99.85	13877338
28.10.2010 00:00	100.47	101.09	99.16	99.41	15105346
29.10.2010 00:00	99.04	101.87	98.35	101.27	17085723
01.11.2010 00:00	102.37	103.06	101.61	101.95	14559537
02.11.2010 00:00	102.2	103.35	101.73	102.53	9747468
03.11.2010 00:00	102.59	103.75	102.38	103.06	9826864
08.11.2010 00:00	105.58	106.47	103.76	103.96	15718453
09.11.2010 00:00	103.75	105.08	103.07	103.66	15594362
10.11.2010 00:00	102.98	103.57	100.2	100.43	21525464
11.11.2010 00:00	101.38	101.44	97.53	98.51	23384375
12.11.2010 00:00	97.11	98.43	95.86	97.65	23350894
13.11.2010 00:00	97.36	97.87	97.05	97.8	2417571
15.11.2010 00:00	98.17	99.51	97.52	99.22	14510681
16.11.2010 00:00	98.24	98.33	95.02	95.37	24338433
17.11.2010 00:00	94.74	97.55	94.74	97.36	27994057
18.11.2010 00:00	98.2	99.71	97.96	99.28	22517673
19.11.2010 00:00	99.75	99.93	97.77	98.37	17096444
22.11.2010 00:00	99.74	100.71	98.9	99.2	16851323
23.11.2010 00:00	98.31	99.34	97.35	98.23	22163090
24.11.2010 00:00	98.97	101.55	97.67	100.58	21926160
25.11.2010 00:00	101.4	103.1	100.78	102.87	17382231
26.11.2010 00:00	102.0	102.39	99.95	101.59	17577583
29.11.2010 00:00	102.26	103.01	100.38	100.66	16368110
30.11.2010 00:00	101.0	101.95	99.62	101.64	16179061
01.12.2010 00:00	102.11	103.77	101.66	103.49	16791347
02.12.2010 00:00	103.99	104.31	101.6	103.6	22696228
03.12.2010 00:00	103.75	104.0	102.08	102.94	17513896
06.12.2010 00:00	103.49	105.93	102.95	105.56	25208775
07.12.2010 00:00	106.0	108.3	105.73	107.4	24912845
08.12.2010 00:00	106.53	108.9	104.65	104.94	27669863
09.12.2010 00:00	106.0	106.26	104.5	104.67	20481650
10.12.2010 00:00	104.96	105.59	103.95	104.92	11001487
13.12.2010 00:00	105.84	107.99	105.48	107.41	13688298
14.12.2010 00:00	107.16	108.1	106.31	107.41	14907964
15.12.2010 00:00	106.99	108.25	105.94	107.27	15975262
16.12.2010 00:00	107.0	107.96	106.0	106.35	11452938
17.12.2010 00:00	106.8	107.17	105.44	105.78	9066504
20.12.2010 00:00	105.5	106.4	105.11	105.47	9556012
21.12.2010 00:00	106.16	106.84	105.71	106.72	8722930
22.12.2010 00:00	106.95	107.64	106.66	106.89	7403470
23.12.2010 00:00	107.01	107.25	106.52	106.93	4277171
24.12.2010 00:00	107.08	107.2	106.02	106.22	3426682
27.12.2010 00:00	106.25	106.39	105.01	105.19	4176667
28.12.2010 00:00	105.35	105.6	104.37	104.63	5989123
29.12.2010 00:00	104.82	105.06	103.25	104.28	6592146
30.12.2010 00:00	104.39	104.68	103.5	104.34	5404435
11.01.2011 00:00	105.0	105.3	102.5	103.73	16840688
12.01.2011 00:00	104.5	107.15	103.87	106.92	15871265
13.01.2011 00:00	107.35	108.87	106.04	107.31	20264680
14.01.2011 00:00	107.1	108.13	106.54	107.11	11189774
17.01.2011 00:00	107.32	109.88	107.15	109.53	12905181
18.01.2011 00:00	109.57	110.95	107.8	108.49	18350365
19.01.2011 00:00	108.9	109.18	107.37	107.77	13577291
20.01.2011 00:00	106.85	106.95	105.15	105.41	16371082
21.01.2011 00:00	105.5	106.25	104.27	105.77	18452005
24.01.2011 00:00	106.02	106.02	102.61	103.61	13975293
25.01.2011 00:00	104.4	106.63	104.4	106.14	17445272
26.01.2011 00:00	106.55	108.65	106.4	108.36	16164470
27.01.2011 00:00	109.0	109.92	107.16	107.52	18553930
28.01.2011 00:00	107.36	108.44	106.17	106.4	11550059
31.01.2011 00:00	105.79	106.14	104.06	105.85	16314051
01.02.2011 00:00	106.45	107.07	105.17	106.26	15688079
02.02.2011 00:00	107.0	107.35	103.53	104.49	19696058
03.02.2011 00:00	104.41	105.25	102.82	103.48	14579568
04.02.2011 00:00	104.35	104.78	102.38	102.7	14278769
07.02.2011 00:00	103.36	103.56	101.25	103.09	15330827
08.02.2011 00:00	103.1	103.86	100.51	101.57	18480634
09.02.2011 00:00	101.6	102.23	99.25	100.0	17411561
10.02.2011 00:00	99.8	99.84	96.26	96.7	23772799
11.02.2011 00:00	96.42	101.64	96.2	101.18	31706627
14.02.2011 00:00	102.0	103.09	100.83	101.46	19574262
15.02.2011 00:00	101.49	102.92	99.32	99.62	18650627
16.02.2011 00:00	100.0	101.85	98.65	100.74	20851724
17.02.2011 00:00	101.65	102.85	100.15	100.87	16732369
18.02.2011 00:00	101.2	101.89	99.9	100.62	13078845
21.02.2011 00:00	100.82	102.0	99.82	100.71	11832760
22.02.2011 00:00	99.5	99.5	97.24	98.65	19053586
24.02.2011 00:00	97.2	98.14	95.5	97.21	25318509
25.02.2011 00:00	98.18	100.39	97.54	99.95	17353701
28.02.2011 00:00	100.82	102.47	99.87	102.19	17287254
01.03.2011 00:00	102.5	103.0	99.62	99.95	19451747
02.03.2011 00:00	99.0	99.87	97.85	99.21	15579708
03.03.2011 00:00	100.2	102.35	100.05	101.83	18212145
04.03.2011 00:00	102.4	102.59	99.82	100.23	14810106
05.03.2011 00:00	100.46	101.78	100.03	101.42	4190958
09.03.2011 00:00	101.85	103.48	101.43	102.57	20547173
10.03.2011 00:00	102.0	102.56	99.42	99.77	19892702
11.03.2011 00:00	99.0	100.16	97.25	98.42	24084803
14.03.2011 00:00	97.94	99.8	96.85	97.3	21534519
15.03.2011 00:00	95.25	95.71	93.71	95.09	29999217
16.03.2011 00:00	96.01	97.17	93.91	94.54	25003636
